net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
8716902000001,Enduris Netgebied,Poststraat,4301AA,4301AA,ZIERIKZEE,14,100.0,100.0,"85,71",3x25,9442,78.57,0.0
8716902000001,Enduris Netgebied,Poststraat,4301AB,4301AD,ZIERIKZEE,34,100.0,100.0,"64,71",3x25,9284,41.18,0.0
8716902000001,Enduris Netgebied,Korte St. Janstraat,4301AE,4301AE,ZIERIKZEE,17,100.0,100.0,"82,35",3x25,3086,41.18,0.0
8716902000001,Enduris Netgebied,Fonteine,4301AG,4301AH,ZIERIKZEE,31,100.0,100.0,"64,52",1x35,3242,32.26,6.45
8716902000001,Enduris Netgebied,Lange St. Janstraat,4301AJ,4301AJ,ZIERIKZEE,17,100.0,100.0,"64,71",1x35,1735,23.53,0.0
8716902000001,Enduris Netgebied,Lange St. Janstraat,4301AK,4301AL,ZIERIKZEE,23,100.0,100.0,"52,17",3x25,2969,21.74,0.0
8716902000001,Enduris Netgebied,Krepelstraat,4301AM,4301AM,ZIERIKZEE,10,100.0,100.0,"80,00",3x25,3063,40.0,0.0
8716902000001,Enduris Netgebied,Zevenhuisstraat,4301AN,4301AR,ZIERIKZEE,27,100.0,100.0,"55,56",3x25,3015,37.04,3.7
8716902000001,Enduris Netgebied,Hoofdpoortstraat,4301AS,4301AS,ZIERIKZEE,14,100.0,92.86,"42,86",1x35,6263,28.57,7.14
8716902000001,Enduris Netgebied,Hoofdpoortstraat,4301AT,4301AT,ZIERIKZEE,16,100.0,100.0,"50,00",3x25,4712,37.5,0.0
8716902000001,Enduris Netgebied,Hoofdpoortstraat,4301AV,4301AV,ZIERIKZEE,18,100.0,100.0,"66,67",1x35,2157,27.78,5.56
8716902000001,Enduris Netgebied,Breedstraat,4301AW,4301AW,ZIERIKZEE,14,100.0,100.0,"71,43",1x35,2343,28.57,0.0
8716902000001,Enduris Netgebied,Breedstraat,4301AX,4301AX,ZIERIKZEE,11,100.0,100.0,"81,82",3x25,3030,27.27,9.09
8716902000001,Enduris Netgebied,Schuttershofstraat,4301AZ,4301AZ,ZIERIKZEE,16,100.0,100.0,"62,50",1x35,2054,50.0,12.5
