ï»¿NETBEHEERDER,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
8716902000001,Enduris Netgebied,Poststraat,4301AA,4301AA,ZIERIKZEE,15,100.0,100.0,"80,00",3x25,9113,80.0,13.33
8716902000001,Enduris Netgebied,Poststraat,4301AB,4301AD,ZIERIKZEE,34,97.06,94.12,"64,71",3x25,8432,52.94,11.76
8716902000001,Enduris Netgebied,Korte St. Janstraat,4301AE,4301AE,ZIERIKZEE,17,100.0,100.0,"88,24",3x25,2930,52.94,5.88
8716902000001,Enduris Netgebied,Fonteine,4301AG,4301AH,ZIERIKZEE,31,100.0,100.0,"61,29",1x35,3039,48.39,16.13
8716902000001,Enduris Netgebied,Lange St. Janstraat,4301AJ,4301AJ,ZIERIKZEE,17,100.0,100.0,"64,71",1x35,1766,29.41,5.88
8716902000001,Enduris Netgebied,Lange St. Janstraat,4301AK,4301AL,ZIERIKZEE,23,100.0,100.0,"52,17",3x25,2444,26.09,4.35
8716902000001,Enduris Netgebied,Krepelstraat,4301AM,4301AM,ZIERIKZEE,10,90.0,100.0,"80,00",3x25,3135,50.0,30.0
8716902000001,Enduris Netgebied,Zevenhuisstraat,4301AN,4301AR,ZIERIKZEE,27,96.3,100.0,"59,26",3x25,3464,48.15,7.41
8716902000001,Enduris Netgebied,Hoofdpoortstraat,4301AS,4301AS,ZIERIKZEE,17,100.0,94.12,"41,18",3x25,6197,29.41,11.76
8716902000001,Enduris Netgebied,Hoofdpoortstraat,4301AT,4301AT,ZIERIKZEE,15,100.0,100.0,"46,67",3x25,1814,46.67,13.33
8716902000001,Enduris Netgebied,Hoofdpoortstraat,4301AV,4301AV,ZIERIKZEE,17,100.0,100.0,"58,82",1x35,2208,41.18,11.76
8716902000001,Enduris Netgebied,Breedstraat,4301AW,4301AW,ZIERIKZEE,14,100.0,100.0,"71,43",1x35,2408,64.29,35.71
8716902000001,Enduris Netgebied,Breedstraat,4301AX,4301AX,ZIERIKZEE,11,100.0,100.0,"81,82",3x25,2658,36.36,0.0
