net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AE,WATERINGEN,29,96.55,100.0,100,83,3x25,9908,89.66,17.24
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,39,92.31,100.0,100,64,1x35,5210,100.0,7.69
westland-infra,871687800090000015,AZALEAPARK,2291AL,2291AL,WATERINGEN,29,100.0,100.0,100,86,1x35,3354,100.0,0.0
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,24,100.0,100.0,100,92,3x25,6031,100.0,4.17
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,16,100.0,100.0,100,88,3x25,2832,100.0,6.25
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,27,100.0,100.0,100,81,3x25,2375,77.78,7.41
westland-infra,871687800090000015,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,23,95.65,100.0,100,87,1x35,2685,100.0,4.35
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,28,100.0,100.0,100,71,3x25,13932,96.43,0.0
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,12,100.0,100.0,100,75,3x25,8585,100.0,25.0
westland-infra,871687800090000015,HERENSTRAAT,2291BE,2291BG,WATERINGEN,14,100.0,100.0,100,50,3x25,18064,92.86,14.29
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,18,100.0,100.0,100,67,3x25,14764,83.33,5.56
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,26,96.15,100.0,100,77,3x25,10759,96.15,15.38
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,43,97.67,100.0,100,93,3x25,4026,90.7,11.63
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,19,100.0,100.0,100,84,3x25,1435,100.0,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,18,100.0,100.0,100,94,3x25,1358,100.0,0.0
westland-infra,871687800090000015,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,20,100.0,100.0,100,100,3x25,1281,95.0,0.0
westland-infra,871687800090000015,HEULWEG,2291BW,2291BW,WATERINGEN,13,92.31,100.0,100,77,3x25,7297,92.31,0.0
westland-infra,871687800090000015,HEULWEG,2291BX,2291BZ,WATERINGEN,21,90.48,100.0,100,71,3x25,6073,95.24,9.52
westland-infra,871687800090000015,PLEIN,2291CA,2291CA,WATERINGEN,22,100.0,100.0,100,41,3x25,19258,86.36,4.55
westland-infra,871687800090000015,PLEIN,2291CB,2291CB,WATERINGEN,10,100.0,100.0,100,100,3x25,2329,100.0,10.0
westland-infra,871687800090000015,PLEIN,2291CC,2291CC,WATERINGEN,46,97.83,100.0,100,78,3x25,10906,93.48,4.35
westland-infra,871687800090000015,KERKLAAN,2291CD,2291CD,WATERINGEN,24,91.67,100.0,100,88,3x25,6003,95.83,20.83
westland-infra,871687800090000015,KERKLAAN,2291CE,2291CE,WATERINGEN,23,100.0,100.0,100,96,3x25,6387,100.0,17.39
westland-infra,871687800090000015,KERKLAAN,2291CG,2291CG,WATERINGEN,15,93.33,100.0,100,100,3x25,5139,93.33,13.33
westland-infra,871687800090000015,KERKLAAN,2291CH,2291CH,WATERINGEN,61,100.0,100.0,100,61,1x35,4042,93.44,1.64
westland-infra,871687800090000015,KERKLAAN,2291CJ,2291CL,WATERINGEN,35,100.0,100.0,100,89,3x25,6614,100.0,0.0
westland-infra,871687800090000015,HOFZICHT,2291CM,2291CM,WATERINGEN,16,100.0,100.0,100,81,3x25,2834,100.0,0.0
westland-infra,871687800090000015,HOFZICHT,2291CN,2291CN,WATERINGEN,15,100.0,100.0,100,100,3x25,3449,100.0,6.67
westland-infra,871687800090000015,HOFZICHT,2291CP,2291CP,WATERINGEN,17,100.0,100.0,100,100,3x25,3238,88.24,11.76
westland-infra,871687800090000015,HOFWIJK,2291CR,2291CR,WATERINGEN,13,92.31,100.0,100,92,3x25,2895,100.0,0.0
westland-infra,871687800090000015,HOFWIJK,2291CS,2291CS,WATERINGEN,14,100.0,100.0,100,100,3x25,2488,100.0,7.14
westland-infra,871687800090000015,HOFPARK,2291CT,2291CV,WATERINGEN,18,100.0,100.0,100,94,3x25,2566,100.0,0.0
westland-infra,871687800090000015,GANTELPLEIN,2291CW,2291CZ,WATERINGEN,29,100.0,100.0,100,62,1x35,3006,100.0,3.45
westland-infra,871687800090000015,VLEERSTEEG,2291DA,2291DB,WATERINGEN,32,100.0,100.0,100,84,3x25,5099,37.5,0.0
westland-infra,871687800090000015,BAKKERSHOF,2291DC,2291DC,WATERINGEN,13,100.0,100.0,100,100,1x35,1402,100.0,0.0
westland-infra,871687800090000015,BAKKERSHOF,2291DD,2291DD,WATERINGEN,35,100.0,100.0,100,94,3x25,2039,97.14,2.86
westland-infra,871687800090000015,BAKKERSHOF,2291DE,2291DE,WATERINGEN,39,100.0,100.0,100,92,3x25,3463,97.44,2.56
westland-infra,871687800090000015,WATERSTAATSPAD,2291DG,2291DX,WATERINGEN,52,94.23,100.0,100,50,3x25,3645,100.0,7.69
westland-infra,871687800090000015,AMBACHTSHOF,2291DZ,2291EA,WATERINGEN,19,94.74,100.0,100,89,3x25,4549,100.0,15.79
westland-infra,871687800090000015,NOORDWEG,2291EB,2291EE,WATERINGEN,17,88.24,94.12,100,94,3x25,7567,94.12,11.76
westland-infra,871687800090000015,POORTWEIDE,2291EH,2291EH,WATERINGEN,32,100.0,100.0,100,94,3x25,2494,100.0,0.0
westland-infra,871687800090000015,POORTWEIDE,2291EJ,2291EJ,WATERINGEN,40,100.0,100.0,100,93,3x25,2859,97.5,0.0
westland-infra,871687800090000015,ERASMUSWEG,2291EK,2291EN,WATERINGEN,29,100.0,100.0,100,100,3x25,3782,89.66,6.9
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291EP,2291EP,WATERINGEN,24,100.0,100.0,100,83,3x25,3873,91.67,8.33
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ER,2291ER,WATERINGEN,23,100.0,100.0,100,91,3x25,3041,91.3,8.7
westland-infra,871687800090000015,PRINS HENDRIKSTRAAT,2291ES,2291ES,WATERINGEN,16,100.0,100.0,100,100,3x25,4093,68.75,0.0
