net_manager,purchase_area,street,zipcode_from,zipcode_to,city,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,num_connections
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AE,WATERINGEN,89.66,100.0,100,59,3x25,8338,93.1,65.52,29
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,87.5,100.0,100,63,1x35,5538,100.0,82.5,40
westland-infra,871687800090000015,AZALEAPARK,2291AL,2291AL,WATERINGEN,100.0,100.0,100,86,1x35,3401,100.0,89.66,29
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,67.5,100.0,100,75,3x25,4681,95.0,82.5,40
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,100.0,100.0,100,81,1x35,3000,100.0,87.5,16
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,96.15,100.0,100,81,1x35,2219,92.31,84.62,26
westland-infra,871687800090000015,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,95.83,100.0,100,88,1x35,2793,75.0,79.17,24
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,96.43,100.0,100,39,3x25,13201,96.43,42.86,28
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,100.0,100.0,100,50,3x25,10236,100.0,75.0,12
westland-infra,871687800090000015,HERENSTRAAT,2291BD,2291BG,WATERINGEN,100.0,100.0,100,27,1x35,15214,80.0,53.33,15
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,100.0,100.0,100,47,1x35,12442,94.12,58.82,17
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,96.3,100.0,100,63,3x25,9565,96.3,37.04,27
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,95.45,100.0,100,61,1x35,3121,88.64,79.55,44
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,100.0,100.0,100,89,1x35,1254,100.0,77.78,18
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,100.0,100.0,100,83,1x35,1287,100.0,66.67,18
westland-infra,871687800090000015,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,100.0,100.0,100,80,1x35,1311,95.0,75.0,20
westland-infra,871687800090000015,HEULWEG,2291BW,2291BW,WATERINGEN,92.31,100.0,100,54,3x25,7305,92.31,46.15,13
westland-infra,871687800090000015,HEULWEG,2291BX,2291BZ,WATERINGEN,81.82,100.0,100,55,3x25,5680,95.45,68.18,22
westland-infra,871687800090000015,PLEIN,2291CA,2291CA,WATERINGEN,95.0,100.0,100,40,3x25,19897,95.0,35.0,20
westland-infra,871687800090000015,PLEIN,2291CB,2291CB,WATERINGEN,100.0,100.0,100,82,1x35,2081,100.0,81.82,11
westland-infra,871687800090000015,PLEIN,2291CC,2291CC,WATERINGEN,97.78,100.0,100,51,1x35,12554,100.0,80.0,45
westland-infra,871687800090000015,KERKLAAN,2291CD,2291CD,WATERINGEN,84.0,100.0,100,52,3x25,4262,96.0,92.0,25
westland-infra,871687800090000015,KERKLAAN,2291CE,2291CE,WATERINGEN,93.55,74.19,100,52,1x35,6940,100.0,48.39,31
westland-infra,871687800090000015,KERKLAAN,2291CG,2291CG,WATERINGEN,93.33,100.0,100,60,1x35,4618,93.33,73.33,15
